ID,site ,Abundance ,Species ,Kelp?,Distance from kelp,Zoo_Phyto,Group,depth,coverage
1A,A,13,CB,yes,0,phytoplankton,diatom,3.4,high
1A,A,1,Space,yes,0,phytoplankton,dinoflagellete,3.4,high
1A,A,2,spike,yes,0,phytoplankton,diatom ,3.4,high
1A,A,6,pouch,yes,0,phytoplankton,dinoflagellete,3.4,high
1A,A,2,star,yes,0,phytoplankton,diatom,3.4,high
1A,A,1,2ball,yes,0,phytoplankton,diatom,3.4,high
1A,A,0,ladder,yes,0,phytoplankton,diatom ,3.4,high
1A,A,0,fluffy,yes,0,phytoplankton,misc,3.4,high
1A,A,0,ex,yes,0,phytoplankton,misc,3.4,high
1A,A,5,copopod,yes,0,zooplankton,,3.4,high
1A,A,0,naupilis ,yes,0,zooplankton,,3.4,high
1A,A,1,foramifera,yes,0,zooplankton,,3.4,high
1A,A,0,sally,yes,0,zooplankton,,3.4,high
2A,A,7,CB,yes,0,phytoplankton,diatom,4.5,high
2A,A,2,Space,yes,0,phytoplankton,dinoflagellete,4.5,high
2A,A,4,spike,yes,0,phytoplankton,diatom ,4.5,high
2A,A,7,pouch,yes,0,phytoplankton,dinoflagellete,4.5,high
2A,A,0,star,yes,0,phytoplankton,diatom,4.5,high
2A,A,0,2ball,yes,0,phytoplankton,diatom,4.5,high
2A,A,1,ladder,yes,0,phytoplankton,diatom ,4.5,high
2A,A,0,fluffy,yes,0,phytoplankton,misc,4.5,high
2A,A,0,ex,yes,0,phytoplankton,misc,4.5,high
2A,A,5,copopod,yes,0,zooplankton,,4.5,high
2A,A,3,naupilis ,yes,0,zooplankton,,4.5,high
2A,A,0,foramifera,yes,0,zooplankton,,4.5,high
2A,A,0,sally,yes,0,zooplankton,,4.5,high
3A,A,16,CB,yes,0,phytoplankton,diatom,6.5,high
3A,A,2,Space,yes,0,phytoplankton,dinoflagellete,6.5,high
3A,A,5,spike,yes,0,phytoplankton,diatom ,6.5,high
3A,A,4,pouch,yes,0,phytoplankton,dinoflagellete,6.5,high
3A,A,4,star,yes,0,phytoplankton,diatom,6.5,high
3A,A,0,2ball,yes,0,phytoplankton,diatom,6.5,high
3A,A,1,ladder,yes,0,phytoplankton,diatom ,6.5,high
3A,A,0,fluffy,yes,0,phytoplankton,misc,6.5,high
3A,A,0,ex,yes,0,phytoplankton,misc,6.5,high
3A,A,12,copopod,yes,0,zooplankton,,6.5,high
3A,A,4,naupilis ,yes,0,zooplankton,,6.5,high
3A,A,2,foramifera,yes,0,zooplankton,,6.5,high
3A,A,0,sally,yes,0,zooplankton,,6.5,high
4A,A,7,CB,yes,0,phytoplankton,diatom,5.5,high
4A,A,0,Space,yes,0,phytoplankton,dinoflagellete,5.5,high
4A,A,3,spike,yes,0,phytoplankton,diatom ,5.5,high
4A,A,3,pouch,yes,0,phytoplankton,dinoflagellete,5.5,high
4A,A,0,star,yes,0,phytoplankton,diatom,5.5,high
4A,A,0,2ball,yes,0,phytoplankton,diatom,5.5,high
4A,A,0,ladder,yes,0,phytoplankton,diatom ,5.5,high
4A,A,0,fluffy,yes,0,phytoplankton,misc,5.5,high
4A,A,0,ex,yes,0,phytoplankton,misc,5.5,high
4A,A,2,copopod,yes,0,zooplankton,,5.5,high
4A,A,0,naupilis ,yes,0,zooplankton,,5.5,high
4A,A,0,foramifera,yes,0,zooplankton,,5.5,high
4A,A,0,sally,yes,0,zooplankton,,5.5,high
5A,A,15,CB,yes,0,phytoplankton,diatom,6.5,high
5A,A,3,Space,yes,0,phytoplankton,dinoflagellete,6.5,high
5A,A,4,spike,yes,0,phytoplankton,diatom ,6.5,high
5A,A,7,pouch,yes,0,phytoplankton,dinoflagellete,6.5,high
5A,A,1,star,yes,0,phytoplankton,diatom,6.5,high
5A,A,1,2ball,yes,0,phytoplankton,diatom,6.5,high
5A,A,1,ladder,yes,0,phytoplankton,diatom ,6.5,high
5A,A,1,fluffy,yes,0,phytoplankton,misc,6.5,high
5A,A,1,ex,yes,0,phytoplankton,misc,6.5,high
5A,A,6,copopod,yes,0,zooplankton,,6.5,high
5A,A,2,naupilis ,yes,0,zooplankton,,6.5,high
5A,A,0,foramifera,yes,0,zooplankton,,6.5,high
5A,A,0,sally,yes,0,zooplankton,,6.5,high
6A,A,25,CB,yes,0,phytoplankton,diatom,5.8,high
6A,A,4,Space,yes,0,phytoplankton,dinoflagellete,5.8,high
6A,A,5,spike,yes,0,phytoplankton,diatom ,5.8,high
6A,A,14,pouch,yes,0,phytoplankton,dinoflagellete,5.8,high
6A,A,0,star,yes,0,phytoplankton,diatom,5.8,high
6A,A,0,2ball,yes,0,phytoplankton,diatom,5.8,high
6A,A,0,ladder,yes,0,phytoplankton,diatom ,5.8,high
6A,A,0,fluffy,yes,0,phytoplankton,misc,5.8,high
6A,A,1,ex,yes,0,phytoplankton,misc,5.8,high
6A,A,24,copopod,yes,0,zooplankton,,5.8,high
6A,A,7,naupilis ,yes,0,zooplankton,,5.8,high
6A,A,0,foramifera,yes,0,zooplankton,,5.8,high
6A,A,1,sally,yes,0,zooplankton,,5.8,high
7A,A,28,CB,yes,0,phytoplankton,diatom,5,high
7A,A,12,Space,yes,0,phytoplankton,dinoflagellete,5,high
7A,A,18,spike,yes,0,phytoplankton,diatom ,5,high
7A,A,20,pouch,yes,0,phytoplankton,dinoflagellete,5,high
7A,A,1,star,yes,0,phytoplankton,diatom,5,high
7A,A,1,2ball,yes,0,phytoplankton,diatom,5,high
7A,A,1,ladder,yes,0,phytoplankton,diatom ,5,high
7A,A,0,fluffy,yes,0,phytoplankton,misc,5,high
7A,A,0,ex,yes,0,phytoplankton,misc,5,high
7A,A,56,copopod,yes,0,zooplankton,,5,high
7A,A,12,naupilis ,yes,0,zooplankton,,5,high
7A,A,1,foramifera,yes,0,zooplankton,,5,high
7A,A,5,sally,yes,0,zooplankton,,5,high
8A,A,4,CB,yes,0,phytoplankton,diatom,4,high
8A,A,1,Space,yes,0,phytoplankton,dinoflagellete,4,high
8A,A,5,spike,yes,0,phytoplankton,diatom ,4,high
8A,A,4,pouch,yes,0,phytoplankton,dinoflagellete,4,high
8A,A,0,star,yes,0,phytoplankton,diatom,4,high
8A,A,0,2ball,yes,0,phytoplankton,diatom,4,high
8A,A,0,ladder,yes,0,phytoplankton,diatom ,4,high
8A,A,0,fluffy,yes,0,phytoplankton,misc,4,high
8A,A,0,ex,yes,0,phytoplankton,misc,4,high
8A,A,18,copopod,yes,0,zooplankton,,4,high
8A,A,0,naupilis ,yes,0,zooplankton,,4,high
8A,A,1,foramifera,yes,0,zooplankton,,4,high
8A,A,0,sally,yes,0,zooplankton,,4,high
9A,A,18,CB,no,20,phytoplankton,diatom,4.3,medium
9A,A,7,Space,no,20,phytoplankton,dinoflagellete,4.3,medium
9A,A,5,spike,no,20,phytoplankton,diatom ,4.3,medium
9A,A,8,pouch,no,20,phytoplankton,dinoflagellete,4.3,medium
9A,A,0,star,no,20,phytoplankton,diatom,4.3,medium
9A,A,0,2ball,no,20,phytoplankton,diatom,4.3,medium
9A,A,1,ladder,no,20,phytoplankton,diatom ,4.3,medium
9A,A,0,fluffy,no,20,phytoplankton,misc,4.3,medium
9A,A,0,ex,no,20,phytoplankton,misc,4.3,medium
9A,A,49,copopod,no,20,zooplankton,,4.3,medium
9A,A,23,naupilis ,no,20,zooplankton,,4.3,medium
9A,A,2,foramifera,no,20,zooplankton,,4.3,medium
9A,A,3,sally,no,20,zooplankton,,4.3,medium
10A,A,12,CB,no,20,phytoplankton,diatom,4.9,medium
10A,A,3,Space,no,20,phytoplankton,dinoflagellete,4.9,medium
10A,A,11,spike,no,20,phytoplankton,diatom ,4.9,medium
10A,A,12,pouch,no,20,phytoplankton,dinoflagellete,4.9,medium
10A,A,2,star,no,20,phytoplankton,diatom,4.9,medium
10A,A,0,2ball,no,20,phytoplankton,diatom,4.9,medium
10A,A,0,ladder,no,20,phytoplankton,diatom ,4.9,medium
10A,A,0,fluffy,no,20,phytoplankton,misc,4.9,medium
10A,A,0,ex,no,20,phytoplankton,misc,4.9,medium
10A,A,58,copopod,no,20,zooplankton,,4.9,medium
10A,A,17,naupilis ,no,20,zooplankton,,4.9,medium
10A,A,1,foramifera,no,20,zooplankton,,4.9,medium
10A,A,6,sally,no,20,zooplankton,,4.9,medium
11A,A,3,CB,no,20,phytoplankton,diatom,6.5,medium
11A,A,3,Space,no,20,phytoplankton,dinoflagellete,6.5,medium
11A,A,5,spike,no,20,phytoplankton,diatom ,6.5,medium
11A,A,5,pouch,no,20,phytoplankton,dinoflagellete,6.5,medium
11A,A,1,star,no,20,phytoplankton,diatom,6.5,medium
11A,A,0,2ball,no,20,phytoplankton,diatom,6.5,medium
11A,A,0,ladder,no,20,phytoplankton,diatom ,6.5,medium
11A,A,0,fluffy,no,20,phytoplankton,misc,6.5,medium
11A,A,0,ex,no,20,phytoplankton,misc,6.5,medium
11A,A,35,copopod,no,20,zooplankton,,6.5,medium
11A,A,16,naupilis ,no,20,zooplankton,,6.5,medium
11A,A,1,foramifera,no,20,zooplankton,,6.5,medium
11A,A,8,sally,no,20,zooplankton,,6.5,medium
12A,A,4,CB,no,20,phytoplankton,diatom,7.8,medium
12A,A,4,Space,no,20,phytoplankton,dinoflagellete,7.8,medium
12A,A,11,spike,no,20,phytoplankton,diatom ,7.8,medium
12A,A,16,pouch,no,20,phytoplankton,dinoflagellete,7.8,medium
12A,A,0,star,no,20,phytoplankton,diatom,7.8,medium
12A,A,0,2ball,no,20,phytoplankton,diatom,7.8,medium
12A,A,0,ladder,no,20,phytoplankton,diatom ,7.8,medium
12A,A,0,fluffy,no,20,phytoplankton,misc,7.8,medium
12A,A,0,ex,no,20,phytoplankton,misc,7.8,medium
12A,A,33,copopod,no,20,zooplankton,,7.8,medium
12A,A,15,naupilis ,no,20,zooplankton,,7.8,medium
12A,A,0,foramifera,no,20,zooplankton,,7.8,medium
12A,A,3,sally,no,20,zooplankton,,7.8,medium
13A,A,12,CB,no,40,phytoplankton,diatom,6.9,medium
13A,A,5,Space,no,40,phytoplankton,dinoflagellete,6.9,medium
13A,A,16,spike,no,40,phytoplankton,diatom ,6.9,medium
13A,A,17,pouch,no,40,phytoplankton,dinoflagellete,6.9,medium
13A,A,0,star,no,40,phytoplankton,diatom,6.9,medium
13A,A,0,2ball,no,40,phytoplankton,diatom,6.9,medium
13A,A,0,ladder,no,40,phytoplankton,diatom ,6.9,medium
13A,A,0,fluffy,no,40,phytoplankton,misc,6.9,medium
13A,A,0,ex,no,40,phytoplankton,misc,6.9,medium
13A,A,87,copopod,no,40,zooplankton,,6.9,medium
13A,A,13,naupilis ,no,40,zooplankton,,6.9,medium
13A,A,2,foramifera,no,40,zooplankton,,6.9,medium
13A,A,4,sally,no,40,zooplankton,,6.9,medium
14A,A,11,CB,no,40,phytoplankton,diatom,6.5,medium
14A,A,7,Space,no,40,phytoplankton,dinoflagellete,6.5,medium
14A,A,18,spike,no,40,phytoplankton,diatom ,6.5,medium
14A,A,26,pouch,no,40,phytoplankton,dinoflagellete,6.5,medium
14A,A,0,star,no,40,phytoplankton,diatom,6.5,medium
14A,A,0,2ball,no,40,phytoplankton,diatom,6.5,medium
14A,A,0,ladder,no,40,phytoplankton,diatom ,6.5,medium
14A,A,0,fluffy,no,40,phytoplankton,misc,6.5,medium
14A,A,0,ex,no,40,phytoplankton,misc,6.5,medium
14A,A,141,copopod,no,40,zooplankton,,6.5,medium
14A,A,42,naupilis ,no,40,zooplankton,,6.5,medium
14A,A,1,foramifera,no,40,zooplankton,,6.5,medium
14A,A,9,sally,no,40,zooplankton,,6.5,medium
15A,A,24,CB,no,40,phytoplankton,diatom,5.6,medium
15A,A,9,Space,no,40,phytoplankton,dinoflagellete,5.6,medium
15A,A,16,spike,no,40,phytoplankton,diatom ,5.6,medium
15A,A,20,pouch,no,40,phytoplankton,dinoflagellete,5.6,medium
15A,A,2,star,no,40,phytoplankton,diatom,5.6,medium
15A,A,0,2ball,no,40,phytoplankton,diatom,5.6,medium
15A,A,2,ladder,no,40,phytoplankton,diatom ,5.6,medium
15A,A,0,fluffy,no,40,phytoplankton,misc,5.6,medium
15A,A,0,ex,no,40,phytoplankton,misc,5.6,medium
15A,A,105,copopod,no,40,zooplankton,,5.6,medium
15A,A,26,naupilis ,no,40,zooplankton,,5.6,medium
15A,A,3,foramifera,no,40,zooplankton,,5.6,medium
15A,A,9,sally,no,40,zooplankton,,5.6,medium
16A,A,10,CB,no,40,phytoplankton,diatom,4.2,medium
16A,A,4,Space,no,40,phytoplankton,dinoflagellete,4.2,medium
16A,A,7,spike,no,40,phytoplankton,diatom ,4.2,medium
16A,A,7,pouch,no,40,phytoplankton,dinoflagellete,4.2,medium
16A,A,0,star,no,40,phytoplankton,diatom,4.2,medium
16A,A,0,2ball,no,40,phytoplankton,diatom,4.2,medium
16A,A,0,ladder,no,40,phytoplankton,diatom ,4.2,medium
16A,A,0,fluffy,no,40,phytoplankton,misc,4.2,medium
16A,A,0,ex,no,40,phytoplankton,misc,4.2,medium
16A,A,47,copopod,no,40,zooplankton,,4.2,medium
16A,A,10,naupilis ,no,40,zooplankton,,4.2,medium
16A,A,5,foramifera,no,40,zooplankton,,4.2,medium
16A,A,3,sally,no,40,zooplankton,,4.2,medium
17A,A,8,CB,no,60,phytoplankton,diatom,4.8,low
17A,A,3,Space,no,60,phytoplankton,dinoflagellete,4.8,low
17A,A,14,spike,no,60,phytoplankton,diatom ,4.8,low
17A,A,12,pouch,no,60,phytoplankton,dinoflagellete,4.8,low
17A,A,1,star,no,60,phytoplankton,diatom,4.8,low
17A,A,1,2ball,no,60,phytoplankton,diatom,4.8,low
17A,A,0,ladder,no,60,phytoplankton,diatom ,4.8,low
17A,A,0,fluffy,no,60,phytoplankton,misc,4.8,low
17A,A,0,ex,no,60,phytoplankton,misc,4.8,low
17A,A,188,copopod,no,60,zooplankton,,4.8,low
17A,A,14,naupilis ,no,60,zooplankton,,4.8,low
17A,A,0,foramifera,no,60,zooplankton,,4.8,low
17A,A,2,sally,no,60,zooplankton,,4.8,low
18A,A,10,CB,no,60,phytoplankton,diatom,6.4,low
18A,A,6,Space,no,60,phytoplankton,dinoflagellete,6.4,low
18A,A,25,spike,no,60,phytoplankton,diatom ,6.4,low
18A,A,27,pouch,no,60,phytoplankton,dinoflagellete,6.4,low
18A,A,1,star,no,60,phytoplankton,diatom,6.4,low
18A,A,1,2ball,no,60,phytoplankton,diatom,6.4,low
18A,A,0,ladder,no,60,phytoplankton,diatom ,6.4,low
18A,A,0,fluffy,no,60,phytoplankton,misc,6.4,low
18A,A,0,ex,no,60,phytoplankton,misc,6.4,low
18A,A,220,copopod,no,60,zooplankton,,6.4,low
18A,A,46,naupilis ,no,60,zooplankton,,6.4,low
18A,A,2,foramifera,no,60,zooplankton,,6.4,low
18A,A,9,sally,no,60,zooplankton,,6.4,low
19A,A,1,CB,no,60,phytoplankton,diatom,6.5,low
19A,A,1,Space,no,60,phytoplankton,dinoflagellete,6.5,low
19A,A,1,spike,no,60,phytoplankton,diatom ,6.5,low
19A,A,4,pouch,no,60,phytoplankton,dinoflagellete,6.5,low
19A,A,0,star,no,60,phytoplankton,diatom,6.5,low
19A,A,0,2ball,no,60,phytoplankton,diatom,6.5,low
19A,A,0,ladder,no,60,phytoplankton,diatom ,6.5,low
19A,A,0,fluffy,no,60,phytoplankton,misc,6.5,low
19A,A,0,ex,no,60,phytoplankton,misc,6.5,low
19A,A,96,copopod,no,60,zooplankton,,6.5,low
19A,A,30,naupilis ,no,60,zooplankton,,6.5,low
19A,A,1,foramifera,no,60,zooplankton,,6.5,low
19A,A,8,sally,no,60,zooplankton,,6.5,low
20A,A,24,CB,no,60,phytoplankton,diatom,6.9,low
20A,A,25,Space,no,60,phytoplankton,dinoflagellete,6.9,low
20A,A,34,spike,no,60,phytoplankton,diatom ,6.9,low
20A,A,34,pouch,no,60,phytoplankton,dinoflagellete,6.9,low
20A,A,0,star,no,60,phytoplankton,diatom,6.9,low
20A,A,0,2ball,no,60,phytoplankton,diatom,6.9,low
20A,A,1,ladder,no,60,phytoplankton,diatom ,6.9,low
20A,A,0,fluffy,no,60,phytoplankton,misc,6.9,low
20A,A,0,ex,no,60,phytoplankton,misc,6.9,low
20A,A,404,copopod,no,60,zooplankton,,6.9,low
20A,A,0,naupilis ,no,60,zooplankton,,6.9,low
20A,A,0,foramifera,no,60,zooplankton,,6.9,low
20A,A,0,sally,no,60,zooplankton,,6.9,low
1C,C,6,CB,yes,0,phytoplankton,diatom,4.9,high
1C,C,1,Space,yes,0,phytoplankton,dinoflagellete,4.9,high
1C,C,0,spike,yes,0,phytoplankton,diatom ,4.9,high
1C,C,3,pouch,yes,0,phytoplankton,dinoflagellete,4.9,high
1C,C,0,star,yes,0,phytoplankton,diatom,4.9,high
1C,C,0,2ball,yes,0,phytoplankton,diatom,4.9,high
1C,C,0,ladder,yes,0,phytoplankton,diatom ,4.9,high
1C,C,0,fluffy,yes,0,phytoplankton,misc,4.9,high
1C,C,0,ex,yes,0,phytoplankton,misc,4.9,high
1C,C,6,copopod,yes,0,zooplankton,,4.9,high
1C,C,0,naupilis ,yes,0,zooplankton,,4.9,high
1C,C,0,foramifera,yes,0,zooplankton,,4.9,high
1C,C,0,sally,yes,0,zooplankton,,4.9,high
2C,C,1,CB,no,60,phytoplankton,diatom,2,low
2C,C,0,Space,no,60,phytoplankton,dinoflagellete,2,low
2C,C,1,spike,no,60,phytoplankton,diatom ,2,low
2C,C,1,pouch,no,60,phytoplankton,dinoflagellete,2,low
2C,C,2,star,no,60,phytoplankton,diatom,2,low
2C,C,0,2ball,no,60,phytoplankton,diatom,2,low
2C,C,1,ladder,no,60,phytoplankton,diatom ,2,low
2C,C,0,fluffy,no,60,phytoplankton,misc,2,low
2C,C,0,ex,no,60,phytoplankton,misc,2,low
2C,C,2,copopod,no,60,zooplankton,,2,low
2C,C,1,naupilis ,no,60,zooplankton,,2,low
2C,C,0,foramifera,no,60,zooplankton,,2,low
2C,C,0,sally,no,60,zooplankton,,2,low
3C,C,5,CB,no,40,phytoplankton,diatom,2.5,medium
3C,C,0,Space,no,40,phytoplankton,dinoflagellete,2.5,medium
3C,C,0,spike,no,40,phytoplankton,diatom ,2.5,medium
3C,C,3,pouch,no,40,phytoplankton,dinoflagellete,2.5,medium
3C,C,0,star,no,40,phytoplankton,diatom,2.5,medium
3C,C,0,2ball,no,40,phytoplankton,diatom,2.5,medium
3C,C,0,ladder,no,40,phytoplankton,diatom ,2.5,medium
3C,C,0,fluffy,no,40,phytoplankton,misc,2.5,medium
3C,C,0,ex,no,40,phytoplankton,misc,2.5,medium
3C,C,3,copopod,no,40,zooplankton,,2.5,medium
3C,C,2,naupilis ,no,40,zooplankton,,2.5,medium
3C,C,0,foramifera,no,40,zooplankton,,2.5,medium
3C,C,1,sally,no,40,zooplankton,,2.5,medium
4C,C,5,CB,no,20,phytoplankton,diatom,3,medium
4C,C,0,Space,no,20,phytoplankton,dinoflagellete,3,medium
